Kategori,Seri,Model,Giriş Tipi,Primer Gerilim (V),Sekonder Gerilim (V),Anma Güç (VA),Kısa Süreli Güç (VA),Ağırlık (kg),Klemens Çapı,A (mm),B (mm),C (mm),D (mm),E (mm),F (mm),H (mm)
Kumanda Trafoları,ENT.PST,ENT.PST.2324.25,230V Sabit,230,24,25,51,1,4 mm 2,66,76,80,50,64,80,5*8
Kumanda Trafoları,ENT.PST,ENT.PST.2324.50,230V Sabit,230,24,50,97,"1,5",4 mm 2,84,76,91,64,64,82,5*8
Kumanda Trafoları,ENT.PST,ENT.PST.2324.100,230V Sabit,230,24,100,209,"1,9",4 mm 2,84,76,91,64,64,96,6*9
Kumanda Trafoları,ENT.PST,ENT.PST.2324.160,230V Sabit,230,24,160,338,"2,4",4 mm 2,96,89,99,84,74,100,6*9
Kumanda Trafoları,ENT.PST,ENT.PST.2324.200,230V Sabit,230,24,200,419,3,4 mm 2,96,89,99,84,74,100,6*9
Kumanda Trafoları,ENT.PST,ENT.PST.2324.250,230V Sabit,230,24,250,559,"3,4",4 mm 2,96,102,99,84,87,114,6*9
Kumanda Trafoları,ENT.PST,ENT.PST.2324.320,230V Sabit,230,24,320,689,"4,4",4 mm 2,120,90,127,90,83,92,6*9
Kumanda Trafoları,ENT.PST,ENT.PST.2324.400,230V Sabit,230,24,400,961,"5,6",4 mm 2,120,102,127,90,95,106,7*13
Kumanda Trafoları,ENT.PST,ENT.PST.2324.500,230V Sabit,230,24,500,1260,"7,1",4 mm 2,120,122,127,90,109,126,7*13
Kumanda Trafoları,ENT.PST,ENT.PST.2324.630,230V Sabit,230,24,630,1520,"7,6",10 mm 2,150,113,141,122,89,120,7*13
Kumanda Trafoları,ENT.PST,ENT.PST.4024.25,400V Sabit,400,24,25,51,1,4 mm 2,66,76,80,50,64,80,5*8
Kumanda Trafoları,ENT.PST,ENT.PST.4024.50,400V Sabit,400,24,50,96,"1,5",4 mm 2,84,76,91,64,64,82,5*8
Kumanda Trafoları,ENT.PST,ENT.PST.4024.100,400V Sabit,400,24,100,218,2,4 mm 2,84,76,91,64,64,96,6*9
Kumanda Trafoları,ENT.PST,ENT.PST.4024.160,400V Sabit,400,24,160,344,"2,4",4 mm 2,96,89,99,84,74,100,6*9
Kumanda Trafoları,ENT.PST,ENT.PST.4024.200,400V Sabit,400,24,200,460,"2,9",4 mm 2,96,89,99,84,74,100,6*9
Kumanda Trafoları,ENT.PST,ENT.PST.4024.250,400V Sabit,400,24,250,584,"3,4",4 mm 2,96,102,99,84,87,114,6*9
Kumanda Trafoları,ENT.PST,ENT.PST.4024.320,400V Sabit,400,24,320,749,"4,4",4 mm 2,120,90,127,90,83,92,6*9
Kumanda Trafoları,ENT.PST,ENT.PST.4024.400,400V Sabit,400,24,400,909,"5,5",4 mm 2,120,102,127,90,95,106,7*13
Kumanda Trafoları,ENT.PST,ENT.PST.4024.500,400V Sabit,400,24,500,1241,"7,1",4 mm 2,120,122,127,90,109,126,7*13
Kumanda Trafoları,ENT.PST,ENT.PST.4024.630,400V Sabit,400,24,630,1556,"7,6",10 mm 2,150,113,141,122,89,120,7*13
Kumanda Trafoları,ENT.PST,ENT.PST.A4024.25,Alternatif (400;230+15-15),400/230,24,25,51,1,4 mm 2,68,76,80,50,64,80,5*8
Kumanda Trafoları,ENT.PST,ENT.PST.A4024.50,Alternatif (400;230+15-15),400/230,24,50,97,"1,5",4 mm 2,84,76,91,64,64,82,5*8
Kumanda Trafoları,ENT.PST,ENT.PST.A4024.100,Alternatif (400;230+15-15),400/230,24,100,218,2,4 mm 2,84,76,91,64,64,96,6*9
Kumanda Trafoları,ENT.PST,ENT.PST.A4024.160,Alternatif (400;230+15-15),400/230,24,160,344,"2,4",4 mm 2,96,89,99,84,74,100,6*9
Kumanda Trafoları,ENT.PST,ENT.PST.A4024.200,Alternatif (400;230+15-15),400/230,24,200,460,"2,9",4 mm 2,96,89,99,84,74,100,6*9
Kumanda Trafoları,ENT.PST,ENT.PST.A4024.250,Alternatif (400;230+15-15),400/230,24,250,584,"3,4",4 mm 2,96,102,99,84,87,114,6*9
Kumanda Trafoları,ENT.PST,ENT.PST.A4024.320,Alternatif (400;230+15-15),400/230,24,320,749,"4,4",4 mm 2,120,90,127,90,83,92,7*13
Kumanda Trafoları,ENT.PST,ENT.PST.A4024.400,Alternatif (400;230+15-15),400/230,24,400,909,"5,5",4 mm 2,120,102,127,90,95,106,7*13
Kumanda Trafoları,ENT.PST,ENT.PST.A4024.500,Alternatif (400;230+15-15),400/230,24,500,1214,7.1,4 mm 2,120,122,127,90,109,126,7*13
Kumanda Trafoları,ENT.PST,ENT.PST.A4024.630,Alternatif (400;230+15-15),400/230,24,630,1556,"7,6",10 mm 2 4 mm 2,150,113,141,122,89,120,7*13
